7zip 26.01-1
lib32-libva-intel-driver 2.4.1-2
lib32-libvorbis 1.3.7-4
lib32-libvpx1.3 1.3.0-4
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.7-1
lib32-libxcrypt 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.7-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.9-1
lib32-libxi 1.8.3-1
lib32-libxinerama 1.1.6-1
lib32-libxkbcommon 1.13.1-1
lib32-libxkbcommon-x11 1.13.1-1
lib32-libxml2 2.15.3-1
lib32-libxmu 1.3.1-1
lib32-libxrandr 1.5.5-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxt 1.3.1-1
lib32-libxtst 1.2.5-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.5-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.1-1
lib32-mesa-demos 9.0.0-4
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nvidia-utils 595.71.05-1
lib32-openal 1.25.2-1
lib32-openssl 1:3.6.2-1
lib32-opus 1.6.1-1
lib32-p11-kit 0.26.2-1
lib32-pam 1.7.1-1
lib32-pango 1:1.57.1-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.5-2
lib32-pixman 0.46.4-1
lib32-spirv-tools 1:1.4.350.0-1
lib32-systemd 260.1-1
lib32-tdb 1.4.13-1
lib32-util-linux 2.42.1-1
lib32-vulkan-icd-loader 1.4.350.0-1
lib32-wayland 1.25.0-1
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.1-1
libaec 1.1.6-1
libaio 0.3.113-4
libao 1.2.2-7
libappimage 1.0.4.5-14
libappindicator 12.10.1-1
libarchive 3.8.7-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.4-2
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libavc1394 0.5.4-7
libavif 1.4.1-1
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-2
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcddb 1.3.2-9
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libconfig 1.8.2-2
libcpuid 0.8.1-1
libcue 2.3.0-2
libcups 2:2.4.19-1
libcupsfilters 2.1.1-4
libdaemon 0.14-6
libdatachannel 0.24.3-1
libdatrie 0.2.14-1
libdazzle 3.44.0-2
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdbusmenu-qt5 0.9.3+16.04.20160218-8
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.0.19-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdex 1.1.0-1
libdisplay-info 0.3.0-1
libdmapsharing 3.9.13-2
libdmtx 0.7.8-1
libdovi 3.3.2-1
libdrm 2.4.133-1
libdv 1.0.0-12
libdvdcss 1.5.0-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libebur128 1.2.6-2
libedataserverui4 3.60.2-1
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libewf 20140816-1
libexif 0.6.26-1
libfakekey 0.3-4
libfdk-aac 2.0.3-2
libffi 3.5.2-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreexl 2.0.0-3
libftdi 1.5-10
libfyaml 0.9.6-2
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.2-1
libgdm 50.0-2
libgee 0.20.8-1
libgeotiff 1.7.4-1
libgexiv2 0.14.6-2
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgme 0.6.5-1
libgnomekbd 1:3.28.1-2
libgoa 3.58.1-1
libgomp 16.1.1+r12+g301eb08fa2c5-1
libgpg-error 1.61-1
libgphoto2 2.5.33-1
libgravatar 26.04.1-1
libgsf 1.14.58-1
libgsystemservice 0.3.0-2
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgweather-4 4.6.0-1
libgxps 0.3.2-5
libhandy 1.8.3-2
libharu 2.4.6-1
libheif 1.22.0-2
libibus 1.5.34-1
libical 4.0.1-1
libice 1.1.2-1
libid3tag 0.16.4-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libieee1284 0.2.11-19
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.2-1
libiptcdata 1.0.5-5
libisl 0.27-1
libjcat 0.2.6-1
libjpeg-turbo 3.1.4.1-1
libjuice 1.7.1-1
libjxl 0.11.2-2
libkdcraw 26.04.1-1
libkdepim 26.04.1-1
libkexiv2 26.04.1-1
libkgapi 26.04.1-1
